"Index Name","Event Date","Scrip Name","Description"
"S&P CNX 500 Equity Index","24/05/2000","Reliance Petroleum Ltd.- Merge","Inclusion into Index"
"S&P CNX 500 Equity Index","24/05/2000","Shaw Wallace & Co. Ltd.-Sus","Exclusion from Index"
"S&P CNX 500 Equity Index","24/05/2000","Sri Adhikari Brothers Television Network Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","24/05/2000","Visualsoft Technologies Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","24/05/2000","Wockhardt Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","03/09/2000","APR Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","03/09/2000","Axis Bank Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","03/09/2000","Baroda Rayon Corporation Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","03/09/2000","Bharat Bijlee Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","03/09/2000","Bombay Burmah Trading Corporation Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","03/09/2000","Cybertech Systems & Software Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","03/09/2000","IDBI Bank Ltd.-OLD","Inclusion into Index"
"S&P CNX 500 Equity Index","03/09/2000","IFB Industries Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","03/09/2000","JD Orgochem Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","03/09/2000","Maars Software International Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","03/09/2000","Punjab Alkalies & Chemicals Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","03/09/2000","Ramco Industries Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","03/09/2000","Salora International Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","03/09/2000","Shyam Telecom Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","03/09/2000","Sonata Software Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","03/09/2000","Textool Co. Ltd.- Merger","Exclusion from Index"
"S&P CNX 500 Equity Index","20/09/2000","Jain Studios Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","20/09/2000","Sterlite Industries (India) Ltd (Erstwhile)","Exclusion from Index"
"S&P CNX 500 Equity Index","29/11/2000","Andhra Valley Power Supply Co. Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","29/11/2000","Origin Agrostar Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","29/11/2000","Roofit Industries Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","29/11/2000","Tata Hydro-Electric Power Supply Co. Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","13/12/2000","Cheminor Drugs Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","13/12/2000","Engineers India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","13/12/2000","HAMCO Mining & Smelting Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","13/12/2000","Herbertsons Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","13/12/2000","Hindustan Development Corporation Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","13/12/2000","Mafatlal Industries Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","13/12/2000","MphasiS Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","13/12/2000","Orient Information Technologies Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","13/12/2000","Pentasoft Technologies Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","13/12/2000","SEAMEC Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","13/12/2000","Sandesh Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","13/12/2000","Woolworth (India) Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","20/12/2000","Jain Irrigation Systems Ltd. (Old)","Exclusion from Index"
"S&P CNX 500 Equity Index","20/12/2000","Panacea Biotec Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","10/01/2001","Chicago Pneumatic India Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","10/01/2001","R. S. Software (India) Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","25/04/2001","Bajaj Tempo Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","25/04/2001","Cadila Healthcare Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","25/04/2001","Carol Info Services Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","25/04/2001","Glenmark Pharmaceuticals Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","25/04/2001","Gujarat Lease Financing Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","25/04/2001","HCL Technologies Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","25/04/2001","IDI Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","25/04/2001","Jindal Steel & Power Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","25/04/2001","Kale Consultants Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","25/04/2001","Lupin Chemicals Ltd.  (Erstwhile)","Exclusion from Index"
"S&P CNX 500 Equity Index","25/04/2001","Monsanto India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","25/04/2001","Nahar Industrial Enterprises Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","25/04/2001","Pentafour Products Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","25/04/2001","Ramco Systems Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","25/04/2001","Recron Synthetics Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","25/04/2001","Sanghi Polysters Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","25/04/2001","Sree Rayalaseema Alkalies & Allied Chemicals Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","25/04/2001","Sterlite Industries (India) Ltd. -Sus","Inclusion into Index"
"S&P CNX 500 Equity Index","25/04/2001","Sudarshan Chemical Industries Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","25/04/2001","Television Eighteen India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","20/06/2001","McDowell & Co. Ltd. (Old)","Exclusion from Index"
"S&P CNX 500 Equity Index","20/06/2001","Padmini Technologies Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","31/08/2001","Aksh Optifibre Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","31/08/2001","Apple Credit Corporation Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","31/08/2001","Avery India Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","31/08/2001","Bank of Punjab Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","31/08/2001","Cable Corporation of India Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","31/08/2001","Centurion Bank Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","31/08/2001","Cinevistaas Ltd. ","Inclusion into Index"
"S&P CNX 500 Equity Index","31/08/2001","FCL Technologies & Products Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","31/08/2001","JBF Industries Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","31/08/2001","Jagatjit Industries Ltd. -Sus","Exclusion from Index"
"S&P CNX 500 Equity Index","31/08/2001","Karur Vysya Bank Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","31/08/2001","Krishna Filaments Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","31/08/2001","Lupin Laboratories Ltd.  (Erstwhile)","Exclusion from Index"
"S&P CNX 500 Equity Index","31/08/2001","Shree Rama Multi Tech Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","31/08/2001","Sri Vishnu Cement Ltd.- Merged","Exclusion from Index"
"S&P CNX 500 Equity Index","31/08/2001","TVS Motor Company Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","11/10/2001","Hinduja Ventures Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","11/10/2001","JCT Electronics Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","11/10/2001","Mangalam Cement Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","11/10/2001","iGate Global Solutions Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","07/12/2001","Apple Finance Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","07/12/2001","Aztecsoft Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","07/12/2001","Balaji Telefilms Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","07/12/2001","Essar Shipping Ports & Logistics Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","07/12/2001","Flat Products Equipments (India) Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","07/12/2001","Garware Polyester Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","07/12/2001","Henkel SPIC India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","07/12/2001","Indian Organic Chemicals Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","07/12/2001","JCT Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","07/12/2001","Jindal Iron & Steel Co. Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","07/12/2001","Kalyani Steels Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","07/12/2001","Mahindra Lifespace Developers Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","07/12/2001","Motherson Sumi Systems Ltd.","Inclusion into Index"
