Month,Symbol
0113,WIPRO
0113,WSTCSTPAPR
0113,WYETH
0113,YESBANK
0113,ZEEL
0113,ZENSARTECH
0113,ZODIACLOTH
0113,ZYDUSWELL
1212,3MINDIA
1212,AARTIIND
1212,ABAN
1212,ABB
1212,ABGSHIP
1212,ABIRLANUVO
1212,ACC
1212,ADANIENT
1212,ADANIPORTS
1212,ADANIPOWER
1212,ADVANTA
1212,AIAENG
1212,AIL
1212,AKZOINDIA
1212,ALBK
1212,ALLCARGO
1212,ALOKTEXT
1212,ALSTOMT&D
1212,AMARAJABAT
1212,AMBUJACEM
1212,AMTEKAUTO
1212,AMTEKINDIA
1212,ANANTRAJ
1212,ANDHRABANK
1212,ANSALAPI
1212,APOLLOHOSP
1212,APOLLOTYRE
1212,APTECHT
1212,ARSHIYA
1212,ARVIND
1212,ASAHIINDIA
1212,ASHOKLEY
1212,ASIANPAINT
1212,ASTRAZEN
1212,ATFL
1212,ATUL
1212,AUROPHARMA
1212,AUTOAXLES
1212,AUTOIND
1212,AXISBANK
1212,BAJAJ-AUTO
1212,BAJAJELEC
1212,BAJAJFINSV
1212,BAJAJHIND
1212,BAJAJHLDNG
1212,BAJFINANCE
1212,BALKRISIND
1212,BALLARPUR
1212,BALMLAWRIE
1212,BALRAMCHIN
1212,BANARISUG
1212,BANCOINDIA
1212,BANKBARODA
1212,BANKINDIA
1212,BASF
1212,BATAINDIA
1212,BBTC
1212,BEL
1212,BEML
1212,BEPL
1212,BERGEPAINT
1212,BFUTILITIE
1212,BGRENERGY
1212,BHARATFORG
1212,BHARTIARTL
1212,BHEL
1212,BHUSANSTL
1212,BINDALAGRO
1212,BIOCON
1212,BIRLACORPN
1212,BLUEDART
1212,BLUESTARCO
1212,BOC
1212,BOMDYEING
1212,BOSCHLTD
1212,BPCL
1212,BRFL
1212,BRIGADE
1212,BRITANNIA
1212,CADILAHC
1212,CAIRN
1212,CANBK
1212,CANFINHOME
1212,CAPF
1212,CARBORUNIV
1212,CASTROL
1212,CENTENKA
1212,CENTRALBK
1212,CENTURYPLY
1212,CENTURYTEX
1212,CESC
1212,CHAMBLFERT
1212,CHENNPETRO
1212,CHOLAFIN
1212,CIPLA
1212,CLNINDIA
1212,CMC
1212,COALINDIA
1212,COLPAL
1212,CONCOR
1212,COREEDUTEC
1212,COROMANDEL
1212,CORPBANK
1212,COX&KINGS
1212,CRISIL
1212,CROMPGREAV
1212,CUB
1212,CUMMINSIND
1212,DABUR
1212,DBREALTY
1212,DCB
1212,DCHL
1212,DCMSRMCONS
1212,DCW
1212,DEEPAKFERT
1212,DELTACORP
1212,DENABANK
1212,DHANBANK
1212,DHFL
1212,DISHMAN
1212,DISHTV
1212,DIVISLAB
1212,DLF
1212,DREDGECORP
1212,DRREDDY
1212,DYNAMATECH
1212,ECLERX
1212,EDELWEISS
1212,EDUCOMP
1212,EICHERMOT
1212,EIDPARRY
1212,EIHOTEL
1212,ELDERPHARM
1212,ELECTCAST
1212,ELGIEQUIP
1212,EMAMILTD
1212,ENGINERSIN
1212,ENIL
1212,ERAINFRA
1212,EROSMEDIA
1212,ESABINDIA
1212,ESCORTS
1212,ESSAROIL
1212,ESSELPACK
1212,EXIDEIND
1212,FAGBEARING
1212,FDC
1212,FEDERALBNK
1212,FINANTECH
1212,FINCABLES
1212,FINPIPE
1212,FKONCO
1212,FLEXITUFF
1212,FMGOETZE
1212,FORTIS
1212,FSL
1212,FUTUREVENT
1212,GAIL
1212,GAMMNINFRA
1212,GAMMONIND
1212,GATI
1212,GDL
1212,GEOJITBNPP
1212,GEOMETRIC
1212,GESHIP
1212,GHCL
1212,GILLETTE
1212,GIPCL
1212,GITANJALI
1212,GLAXO
1212,GLENMARK
1212,GMDCLTD
1212,GMRINFRA
1212,GNFC
1212,GODFRYPHLP
1212,GODREJCP
1212,GODREJIND
1212,GODREJPROP
1212,GPPL
1212,GRAPHITE
1212,GRASIM
1212,GREAVESCOT
1212,GSFC
1212,GSKCONS
1212,GSPL
1212,GTL
1212,GTOFFSHORE
1212,GUJALKALI
1212,GUJFLUORO
1212,GUJNRECOKE
1212,GUJRATGAS
1212,GVKPIL
1212,HATHWAY
1212,HAVELLS
1212,HCC
1212,HCL-INSYS
1212,HCLTECH
1212,HDFC
1212,HDFCBANK
1212,HDIL
1212,HEG
1212,HEROMOTOCO
1212,HEXAWARE
1212,HFCL
1212,HIMATSEIDE
1212,HINDALCO
1212,HINDOILEXP
1212,HINDPETRO
1212,HINDUNILVR
1212,HINDZINC
1212,HONAUT
1212,HOTELEELA
1212,HSIL
1212,HTMEDIA
1212,HUBTOWN
1212,IBPOW
1212,IBREALEST
1212,IBSEC
1212,ICICIBANK
1212,ICRA
1212,IDBI
1212,IDEA
1212,IDFC
1212,IFCI
1212,IGL
1212,IL&FSENGG
1212,INDHOTEL
1212,INDIABULLS
1212,INDIACEM
1212,INDIAGLYCO
1212,INDIAINFO
1212,INDIANB
1212,INDORAMA
1212,INDRAMEDCO
1212,INDSWFTLAB
1212,INDUSINDBK
1212,INFOTECENT
1212,INFY
1212,INGERRAND
1212,INGVYSYABK
1212,INNOIND
1212,IOB
1212,IOC
1212,IPCALAB
1212,IRB
1212,ITC
1212,IVRCLINFRA
1212,J&KBANK
1212,JAGRAN
1212,JAIBALAJI
1212,JAICORPLTD
1212,JBCHEPHARM
1212,JBFIND
1212,JETAIRWAYS
1212,JINDALPOLY
1212,JINDALSAW
1212,JINDALSTEL
1212,JINDALSWHL
1212,JISLJALEQS
1212,JKIL
1212,JKTYRE
1212,JMFINANCIL
1212,JPASSOCIAT
1212,JPINFRATEC
1212,JPPOWER
1212,JSL
1212,JSWENERGY
1212,JSWISPAT
1212,JSWSTEEL
1212,JUBILANT
1212,JUBLFOOD
1212,JYOTISTRUC
1212,KAJARIACER
1212,KALPATPOWR
1212,KANSAINER
1212,KARURVYSYA
1212,KCP
1212,KEC
1212,KEMROCK
1212,KESORAMIND
1212,KGL
1212,KOTAKBANK
1212,KPIT
1212,KSBPUMPS
