Index Name,Event Date,Scrip Name,Description
CNX 100,03-02-2006,Container Corporation of India Ltd.,Inclusion into Index
CNX 100,03-02-2006,Flextronics Software Systems Ltd.,Exclusion from Index
CNX 100,02-03-2006,CMC Ltd.,Exclusion from Index
CNX 100,02-03-2006,Reliance Capital Ltd.,Inclusion into Index
CNX 100,27-06-2006,Suzlon Energy Ltd.,Inclusion into Index
CNX 100,27-06-2006,Infrastructure Development Finance Co. Ltd.,Inclusion into Index
CNX 100,27-06-2006,Shipping Corporation of India Ltd.,Exclusion from Index
CNX 100,27-06-2006,Tata Chemicals Ltd.,Exclusion from Index
CNX 100,01-09-2006,Tata Global Beverages Ltd.,Exclusion from Index
CNX 100,01-09-2006,Reliance Communications Ltd.,Inclusion into Index
CNX 100,22-09-2006,Kochi Refineries Ltd.,Exclusion from Index
CNX 100,22-09-2006,Reliance Petroleum Ltd.,Inclusion into Index
CNX 100,08-11-2006,Great Eastern Shipping Co. Ltd.,Exclusion from Index
CNX 100,08-11-2006,Indian Hotels Co. Ltd.,Inclusion into Index
CNX 100,04-04-2007,Oriental Bank of Commerce,Exclusion from Index
CNX 100,04-04-2007,Jet Airways (India) Ltd.,Exclusion from Index
CNX 100,04-04-2007,UltraTech Cement Ltd.,Inclusion into Index
CNX 100,04-04-2007,Tech Mahindra Ltd.,Inclusion into Index
CNX 100,04-06-2007,IBP Co. Ltd.,Exclusion from Index
CNX 100,04-06-2007,GMR Infrastructure Ltd.,Inclusion into Index
CNX 100,24-09-2007,Dabur India Ltd.,Exclusion from Index
CNX 100,24-09-2007,NTPC Ltd.,Inclusion into Index
CNX 100,05-10-2007,Indian Petrochemicals Corporation Ltd.,Exclusion from Index
CNX 100,05-10-2007,Unitech Ltd.,Inclusion into Index
CNX 100,12-12-2007,Hindustan Petroleum Corporation Ltd.,Exclusion from Index
CNX 100,12-12-2007,Bongaigaon Refinery & Petrochemicals Ltd.,Exclusion from Index
CNX 100,12-12-2007,Mahanagar Telephone Nigam Ltd.,Exclusion from Index
CNX 100,12-12-2007,Ingersoll Rand (India) Ltd.,Exclusion from Index
CNX 100,12-12-2007,Polaris Software Lab Ltd.,Exclusion from Index
CNX 100,12-12-2007,Idea Cellular Ltd.,Inclusion into Index
CNX 100,12-12-2007,Aditya Birla Nuvo Ltd.,Inclusion into Index
CNX 100,12-12-2007,Power Finance Corporation Ltd.,Inclusion into Index
CNX 100,12-12-2007,Cairn India Ltd.,Inclusion into Index
CNX 100,12-12-2007,United Spirits Ltd.,Inclusion into Index
CNX 100,15-02-2008,Piramal Healthcare Ltd.,Exclusion from Index
CNX 100,15-02-2008,Jindal Steel & Power Ltd.,Inclusion into Index
CNX 100,14-03-2008,Bajaj Auto Ltd.,Exclusion from Index
CNX 100,14-03-2008,Punjab Tractors Ltd.,Exclusion from Index
CNX 100,14-03-2008,Glaxosmithkline Pharmaceuticals Ltd.,Exclusion from Index
CNX 100,14-03-2008,Power Grid Corporation of India Ltd.,Inclusion into Index
CNX 100,14-03-2008,DLF Ltd.,Inclusion into Index
CNX 100,14-03-2008,Reliance Natural Resources Ltd.,Inclusion into Index
CNX 100,23-06-2008,TVS Motor Company Ltd.,Exclusion from Index
CNX 100,23-06-2008,Pfizer Ltd.,Exclusion from Index
CNX 100,23-06-2008,Housing Development and Infrastructure Ltd.,Inclusion into Index
CNX 100,23-06-2008,JSW Steel Ltd.,Inclusion into Index
CNX 100,10-09-2008,Aurobindo Pharma Ltd.,Exclusion from Index
CNX 100,10-09-2008,Dr. Reddy's Laboratories Ltd.,Exclusion from Index
CNX 100,10-09-2008,Reliance Power Ltd.,Inclusion into Index
CNX 100,10-09-2008,Mundra Port and Special Economic Zone Ltd.,Inclusion into Index
CNX 100,29-12-2008,Cadila Healthcare Ltd.,Exclusion from Index
CNX 100,29-12-2008,Dr. Reddy's Laboratories Ltd.,Inclusion into Index
CNX 100,12-01-2009,Satyam Computer Services Ltd.,Exclusion from Index
CNX 100,12-01-2009,Glenmark Pharmaceuticals Ltd.,Inclusion into Index
CNX 100,27-03-2009,Nirma Ltd.,Exclusion from Index
CNX 100,27-03-2009,Aventis Pharma Ltd.,Exclusion from Index
CNX 100,27-03-2009,ING Vysya Bank Ltd.,Exclusion from Index
CNX 100,27-03-2009,Zee Entertainment Enterprises Ltd.,Exclusion from Index
CNX 100,27-03-2009,Mangalore Refinery & Petrochemicals Ltd.,Inclusion into Index
CNX 100,27-03-2009,Sesa Goa Ltd.,Inclusion into Index
CNX 100,27-03-2009,Glaxosmithkline Pharmaceuticals Ltd.,Inclusion into Index
CNX 100,27-03-2009,Adani Enterprises Ltd.,Inclusion into Index
CNX 100,17-06-2009,Hindustan Petroleum Corporation Ltd.,Inclusion into Index
CNX 100,17-06-2009,Reliance Petroleum Ltd.,Exclusion from Index
CNX 100,22-10-2009,Apollo Tyres Ltd.,Exclusion from Index
CNX 100,22-10-2009,Bajaj Auto Ltd.,Inclusion into Index
CNX 100,22-10-2009,Chennai Petroleum Corporation Ltd.,Exclusion from Index
CNX 100,22-10-2009,Colgate Palmolive (India) Ltd.,Inclusion into Index
CNX 100,22-10-2009,Crompton Greaves Ltd.,Inclusion into Index
CNX 100,22-10-2009,Federal Bank Ltd.,Inclusion into Index
CNX 100,22-10-2009,Indiabulls Real Estate Ltd.,Inclusion into Index
CNX 100,22-10-2009,National Aluminium Co. Ltd.,Exclusion from Index
CNX 100,22-10-2009,Raymond Ltd.,Exclusion from Index
CNX 100,22-10-2009,Tata Communications Ltd.,Exclusion from Index
CNX 100,22-10-2009,United Phosphorus Ltd.,Inclusion into Index
CNX 100,22-10-2009,Vijaya Bank,Exclusion from Index
CNX 100,22-10-2009,Wockhardt Ltd.,Exclusion from Index
CNX 100,22-10-2009,Zee Entertainment Enterprises Ltd.,Inclusion into Index
CNX 100,08-04-2010,Grasim Industries Ltd.,Exclusion from Index
CNX 100,08-04-2010,Moser Baer India Ltd.,Exclusion from Index
CNX 100,08-04-2010,Punj Lloyd Ltd.,Inclusion into Index
CNX 100,08-04-2010,Torrent Power Ltd.,Inclusion into Index
CNX 100,01-10-2010,ABB Ltd.,Exclusion from Index
CNX 100,01-10-2010,Grasim Industries Ltd.,Inclusion into Index
CNX 100,01-10-2010,Idea Cellular Ltd.,Exclusion from Index
CNX 100,01-10-2010,Rural Electrification Corporation Ltd.,Inclusion into Index
CNX 100,01-10-2010,Shriram Transport Finance Co. Ltd.,Inclusion into Index
CNX 100,01-10-2010,Tata Teleservices (Maharashtra) Ltd.,Exclusion from Index
CNX 100,01-10-2010,Unitech Ltd.,Exclusion from Index
CNX 100,01-10-2010,Yes Bank Ltd.,Inclusion into Index
CNX 100,07-10-2010,Exide Industries Ltd.,Inclusion into Index
CNX 100,07-10-2010,Reliance Natural Resources Ltd.,Exclusion from Index
CNX 100,07-10-2010,Tata Chemicals Ltd.,Inclusion into Index
CNX 100,07-10-2010,Zee Entertainment Enterprises Ltd.,Exclusion from Index
CNX 100,25-03-2011,Corporation Bank,Exclusion from Index
CNX 100,25-03-2011,Mangalore Refinery & Petrochemicals Ltd.,Exclusion from Index
CNX 100,25-03-2011,Suzlon Energy Ltd.,Exclusion from Index
CNX 100,25-03-2011,IndusInd Bank Ltd.,Inclusion into Index
CNX 100,25-03-2011,Titan Industries Ltd.,Inclusion into Index
CNX 100,25-03-2011,Zee Entertainment Enterprises Ltd.,Inclusion into Index
CNX 100,21-04-2011,Indiabulls Real Estate Ltd.,Exclusion from Index
CNX 100,21-04-2011,Coal India Ltd.,Inclusion into Index
CNX 100,10/10/2011,Patni Computer Systems Ltd,Exclusion from Index
CNX 100,10/10/2011,Punj Lloyd Ltd.,Exclusion from Index
CNX 100,10/10/2011,Syndicate Bank,Exclusion from Index
CNX 100,10/10/2011,Bosch Ltd.,Inclusion into Index
CNX 100,10/10/2011,Dabur India Ltd.,Inclusion into Index
CNX 100,10/10/2011,Idea Cellular Ltd,Inclusion into Index
CNX 100,27-04-2012,Divi's Laboratories Ltd.,Inclusion into Index
CNX 100,27-04-2012,GlaxoSmithkline Consumer Healthcare Ltd.,Inclusion into Index
CNX 100,27-04-2012,Housing Development and Infrastructure Ltd.,Exclusion from Index
CNX 100,27-04-2012,IFCI Ltd.,Exclusion from Index
CNX 100,27-04-2012,Indian Overseas Bank ,Exclusion from Index
CNX 100,27-04-2012,Petronet LNG Ltd.,Inclusion into Index
CNX 100,28-09-2012,Andhra Bank,Exclusion from Index
CNX 100,28-09-2012,Apollo Hospitals Enterprises Ltd.,Inclusion into Index
CNX 100,28-09-2012,Bajaj Holdings & Investment Ltd.,Inclusion into Index
CNX 100,28-09-2012,Bharat Electronics Ltd.,Exclusion from Index
CNX 100,28-09-2012,Godrej Consumer Products Ltd.,Inclusion into Index
CNX 100,28-09-2012,Sterlite Industries (India) Ltd.,Exclusion from Index
