symbol,date,return,corrected
JSTAINLESS,01-Mar-2004,-1.5975,0
M&M,01-Sep-2005,-0.6882,0
M&M,29-Mar-2010,-0.6691,0
SUNDARMFIN,22-Aug-2008,-0.7139,0
SUNDARMFIN,13-Dec-2012,-0.7298,0
JCTEL,13-Jun-2008,-0.3773,0
CENTURYPLY,24-Apr-2008,-2.2882,0
NICOLASPIR,27-Dec-2004,-1.5567,0
NAVBARFERO,24-Aug-2005,-1.5693,0
PREMINSTR,08-Jul-2004,-2.7593,0
UNIWESTBNK,17-Jan-2006,-0.4274,0
ZANDUPHARM,21-Oct-2004,-0.4310,0
ZANDUPHARM,22-Dec-2009,-0.3113,0
PRAJIND,17-Aug-2005,-2.2533,0
PRAJIND,18-Jul-2007,-0.6702,0
MOSERBAER,17-Jul-2007,-0.4401,0
ORIENTHOT,10-Nov-2010,-2.2602,0
ICSA,23-Oct-2007,-1.5547,0
BERGEPAINT,25-Aug-2004,-1.5504,0
BERGEPAINT,12-Oct-2006,-0.4274,0
MADRASCEM,01-Oct-2008,-2.9405,0
SUNPHARMA,27-May-2004,-0.6493,0
SUNPHARMA,25-Nov-2010,-1.6109,0
MPHASISBFL,11-Nov-2005,-0.6874,0
FDC,29-Apr-2004,-0.5992,0
MAHAVIRSPG,15-Sep-2005,-0.4110,0
VAKRANSOFT,12-Apr-2012,-2.8605,0
AMARAJABAT,19-Sep-2007,-1.5762,0
AMARAJABAT,14-Oct-2008,-0.2963,0
AMARAJABAT,25-Sep-2012,-0.6596,0
GTNTEXT,26-Dec-2005,-0.2846,0
ASTRAIDL,15-Jun-2006,-1.5141,0
ZODIACLOTH,24-Oct-2005,-0.6988,0
ZODIACLOTH,23-Aug-2010,-0.3742,0
ZODIACLOTH,27-Sep-2011,-0.3981,0
GOODLASNER,13-Aug-2004,-0.4937,0
KARURVYSYA,13-Dec-2006,-0.2964,0
KARURVYSYA,16-Sep-2010,-0.3579,0
KPIT,03-Mar-2005,-0.7052,0
KPIT,13-Mar-2012,-0.7824,0
SUNDRMFAST,23-Jan-2004,-2.2223,0
SUNDRMFAST,04-Jan-2007,-0.7148,0
RAJESHEXPO,09-Sep-2005,-1.5827,0
RAJESHEXPO,29-Jan-2008,-1.7648,0
SIEMENS,13-Jun-2006,-1.6637,0
SIEMENS,29-Feb-2008,-0.7398,0
DIVISLAB,03-Aug-2007,-1.5876,0
ARCHIES,02-Nov-2010,-1.5906,0
BHARATFORG,20-Jul-2005,-1.5556,0
JBCHEPHARM,05-Apr-2005,-1.6533,0
JBCHEPHARM,29-Aug-2011,-0.3801,0
SMARTLINK,31-May-2011,-0.4212,0
LUPIN,11-Aug-2006,-0.6737,0
LUPIN,27-Aug-2010,-1.6108,0
GUJRATGAS,15-May-2007,-1.6026,0
GUJRATGAS,17-Sep-2009,-0.6634,0
JYOTISTRUC,28-Jul-2006,-1.5604,0
OPTOCIRCUI,30-Oct-2006,-0.6821,0
OPTOCIRCUI,25-Oct-2007,-0.2740,0
OPTOCIRCUI,03-Nov-2008,-0.4575,0
AGRODUTCH,12-Dec-2005,-0.3112,0
CUB,23-Jan-2008,-2.2530,0
OUDHSUG,29-Apr-2005,-0.3508,0
TITAN,23-Jun-2011,-2.9313,0
CIPLA,12-May-2004,-1.5860,0
CIPLA,24-Apr-2006,-0.9320,0
SADBHAV,07-Dec-2010,-2.3015,0
ADANIENT,10-Dec-2009,-0.6821,0
DCHL,13-Mar-2007,-1.6395,0
