"Name","Symbol","Auto"
"Godavari Fertilisers & Chemicals Ltd.","GODAVRFERT",1
"Godfrey Phillips India Ltd.","GODFRYPHLP",1
"Golden Tobacco Ltd.","GOLDENTOBC",1
"Grasim Industries Ltd.","GRASIM",1
"Great Eastern Shipping Co. Ltd.","GESHIP",1
"Greaves Cotton Ltd.","GREAVESCOT",1
"Grindwell Norton Ltd.","GRINDWELL",1
"Gujarat Alkalies & Chemicals Ltd.","GUJALKALI",1
"Gujarat Fluorochemicals Ltd.","GUJFLUORO",1
"Gujarat Gas Co. Ltd.","GUJRATGAS",1
"Gujarat Industries Power Co. Ltd.","GIPCL",1
"Gujarat Lease Financing Ltd.","GLFL",1
"Gujarat Narmada Valley Fertilisers Co. Ltd.","GNFC",1
"Gujarat State Fertilizers & Chemicals Ltd.","GSFC",1
"H.E.G. Ltd.","HEG",1
"HAMCO Mining & Smelting Ltd.","HINDALLOYS",1
"HCL Infosystems Ltd.","HCL-INSYS",1
"HDFC Bank Ltd.","HDFCBANK",1
"Harrisons Malayalam Ltd.","HARRMALAYA",1
"HeidelbergCement India Ltd.","HEIDELBERG",1
"Hero Honda Motors Ltd.","HEROMOTOCO",1
"Himachal Futuristic Communications Ltd.","HFCL",1
"Himatsingka Seide Ltd.","HIMATSEIDE",1
"Hind Syntex Ltd.","HINDSYNTEX",1
"Hindalco Industries Ltd.","HINDALCO",1
"Hindustan Construction Co. Ltd.","HCC",1
"Hindustan Oil Exploration Co. Ltd.","HINDOILEXP",1
"Hindustan Organic Chemicals Ltd.","HOCL",1
"Hindustan Petroleum Corporation Ltd.","HINDPETRO",1
"Hindustan Unilever Ltd.","HINDUNILVR",1
"Hindustan Zinc Ltd.","HINDZINC",1
"Honda SIEL Power Products Ltd.","HONDAPOWER",1
"Honeywell Automation India Ltd.","HONAUT",1
"Hotel Leelaventure Ltd.","HOTELEELA",1
"Housing Development Finance Corporation Ltd.","HDFC",1
"Hyderabad Industries Ltd.","HIL",1
"I G Petrochemicals Ltd.","IGPL",1
"I T C Ltd.","ITC",1
"ICICI Ltd.","ICICI",1
"IDBI Bank Ltd.","IDBI",1
"IDI Ltd.","INDYESTUF",1
"IFB Industries Ltd.","IFBIND",1
"IFCI Ltd.","IFCI",1
"INEOS ABS (India) Ltd.","STYABS",1
"IP Rings Ltd.","IPRINGLTD",1
"ISMT Ltd.","ISMTLTD",1
"ITD Cementation India Ltd.","ITDCEM",1
"ITI Ltd.","ITI",1
"India Cements Ltd.","INDIACEM",1
"India Glycols Ltd.","INDIAGLYCO",1
"India Gypsum Ltd.","INDGYPSUM",1
"Indian Aluminium Co. Ltd.","INDAL",1
"Indian Card Clothing Co. Ltd.","INDIANCARD",1
"Indian Hotels Co. Ltd.","INDHOTEL",1
