Name,Symbol,Auto
Patheja Forgings & Auto Parts Manufacturers Ltd.,01/08/1998,0
Peacock Industries Ltd.,01/08/1998,0
Peninsula Land Ltd.,PENINLAND,1
Pentamedia Graphics Ltd.,01/08/1998,0
Pfizer Ltd.,PFIZER,1
Philips India Ltd.,01/08/1998,0
Phillips Carbon Black Ltd.,01/08/1998,0
Phoenix International Ltd.,01/08/1998,0
Pidilite Industries Ltd.,PIDILITIND,1
Piramal Healthcare Ltd.,PIRHEALTH,1
Piramal Holdings Ltd.-Delisted,01/08/1998,0
Prakash Industries Ltd.,PRAKASH,1
Precision Fasteners Ltd.,01/08/1998,0
Premier Ltd.,01/08/1998,0
Prime Securities Ltd.,01/08/1998,0
Procter & Gamble Hygiene & Health Care Ltd.,01/08/1998,0
Pudumjee Pulp & Paper Mills Ltd.,01/08/1998,0
Punjab Alkalies & Chemicals Ltd.,01/08/1998,0
Punjab Chemicals & Crop Protection Ltd.,01/08/1998,0
Punjab Tractors Ltd.,01/08/1998,0
Punjab Wireless Systems Ltd.,01/08/1998,0
RPG Cables Ltd.,01/08/1998,0
RPG Transmission Ltd.,01/08/1998,0
RSWM Ltd.,01/08/1998,0
Raasi Cement Ltd.- Sus,01/08/1998,0
Rajinder Steels Ltd.,01/08/1998,0
Ranbaxy Laboratories Ltd.,01/08/1998,0
Rashtriya Chemicals & Fertilizers Ltd.,01/08/1998,0
Ravalgaon Sugar Farm Ltd.,01/08/1998,0
Raymond Ltd.,RAYMOND,1
Reckitt Benckiser (India) Ltd,01/08/1998,0
Recron Synthetics Ltd.,01/08/1998,0
Reliance Capital Ltd.,RELCAPITAL,1
Reliance Industrial Infrastructure Ltd.,01/08/1998,0
Reliance Industries Ltd.,RELIANCE,1
Reliance Infrastructure Ltd.,01/08/1998,0
Rhone-Poulenc (India) Ltd.,01/08/1998,0
Rico Auto Industries Ltd.,RICOAUTO,1
Rolta India Ltd.,ROLTA,1
Royal Cushion Vinyl Products Ltd.,01/08/1998,0
Ruchi Soya Industries Ltd.,RUCHISOYA,1
SIV Industries Ltd.,01/08/1998,0
SKF India Ltd.,SKFINDIA,1
SOL Pharmaceuticals Ltd.,01/08/1998,0
SRF Ltd.,SRF,1
Sakthi Sugars Ltd.,SAKHTISUG,1
Samtel Color Ltd.,01/08/1998,0
Sandvik Asia Ltd. - Delisted,01/08/1998,0
Sanghi Polysters Ltd.,01/08/1998,0
Satyam Computer Services Ltd.,01/08/1998,0
Saurashtra Cement Ltd.,01/08/1998,0
Schenectady Beck India Ltd.,01/08/1998,0
Sesa Goa Ltd.,SESAGOA,1
Seshasayee Paper & Boards Ltd.,SESHAPAPER,1
Shaw Wallace & Co. Ltd.-Sus,01/08/1998,0
Shipping Corporation of India Ltd.,01/08/1998,0
Shree Cement Ltd.,01/08/1998,0
Shrenuj & Co. Ltd.,01/08/1998,0
Siemens Ltd.,SIEMENS,1
Smithkline Beecham Pharmaceuticals (I) Ltd.-Merged,01/08/1998,0
Snowcem India Ltd.,01/08/1998,0
Sona Koyo Steering Systems Ltd.,01/08/1998,0
Southern Petrochemicals Industries Corporation Ltd.,01/08/1998,0
Sree Rayalaseema Alkalies & Allied Chemicals Ltd.,01/08/1998,0
Standard Industries Ltd.- Delisted,01/08/1998,0
State Bank of India,SBIN,1
Steel Authority of India Ltd.,SAIL,1
Sterling Holiday Resorts (India) Ltd.-Delisted,01/08/1998,0
Sterlite Industries (India) Ltd (Erstwhile),01/08/1998,0
Su-Raj Diamonds & Jewellery Ltd.,01/08/1998,0
Sudarshan Chemical Industries Ltd.,01/08/1998,0
Summit Securities Ltd.,01/08/1998,0
Sun Pharmaceutical Industries Ltd.,01/08/1998,0
Sundaram Clayton Ltd.,01/08/1998,0
Sundram Fasteners Ltd.,SUNDRMFAST,1
Supreme Industries Ltd.,SUPREMEIND,1
Supreme Petrochem Ltd.,01/08/1998,0
Swaraj Engines Ltd.,SWARAJENG,1
Synthetics & Chemicals Ltd.,01/08/1998,0
TCI Industries Ltd.,01/08/1998,0
TVS Suzuki Ltd. (old),01/08/1998,0
Tamil Nadu Newsprint & Papers Ltd.,01/08/1998,0
